feature,coefficient
X201496_x_at,0.04652973770306471
X201525_at,-0.0844788922450268
X201884_at,0.0771842707933684
X201909_at,0.06526142406040102
X202286_s_at,-0.15189642452255583
X202376_at,-0.10615991062021789
X202831_at,0.07969120673908285
X202859_x_at,0.09641330789221593
X203691_at,0.05288477027180981
X204351_at,0.09092737551035251
X204470_at,0.07120722819963123
X204653_at,-0.14278894402749773
X206286_s_at,0.068530741491648
X207850_at,0.07472947333155477
X209016_s_at,-0.12292122546213471
X209343_at,-0.14573266131519236
X209351_at,-0.07235412734833699
X209604_s_at,-0.13993593250563208
X211798_x_at,0.009633370815397089
X212942_s_at,0.05650960160970345
X213953_at,0.05439142334359621
X215108_x_at,0.05357449107456474
X217157_x_at,-0.0033633136224810833
