feature1,feature2,Chi2_stat,P-value,Cramers_V
X211798_x_at,X202831_at,83,6.97E-18,1
X217157_x_at,X211798_x_at,83,6.97E-18,1
X212942_s_at,X201884_at,144.7246835,1.01E-28,0.933721288
X201884_at,X212942_s_at,144.7246835,1.01E-28,0.933721288
X202831_at,X212942_s_at,206.9746835,1.14E-39,0.911714664
X212942_s_at,X202831_at,206.9746835,1.14E-39,0.911714664
X206286_s_at,X204470_at,124.0149351,2.34E-24,0.864336695
X203691_at,X213953_at,123.9942187,2.36E-24,0.864264499
X212942_s_at,X215108_x_at,178.6126096,9.87E-34,0.846947293
X202831_at,X213953_at,103.75,4.14E-20,0.790569415
X202831_at,X204470_at,143.963998,1.57E-26,0.760374031
X201496_x_at,X215108_x_at,95.65660173,2.02E-18,0.759107758
X215108_x_at,X206286_s_at,95.62291667,2.05E-18,0.758974088
X201884_at,X204470_at,92.08899803,1.12E-17,0.744817427
X204351_at,X202831_at,124.5,1.60E-22,0.707106781
X204351_at,X201884_at,83,8.57E-16,0.707106781
X202831_at,X203691_at,124.0075158,2.02E-22,0.705706846
X203691_at,X202831_at,124.0075158,2.02E-22,0.705706846
X213953_at,X201884_at,82.48125,5.19E-17,0.704893609
X204351_at,X213953_at,82.48125,1.10E-15,0.704893609
X211798_x_at,X204351_at,40.99390244,6.56E-09,0.702781928
X201909_at,X201525_at,40.99390244,6.56E-09,0.702781928
X204351_at,X201909_at,40.99390244,6.56E-09,0.702781928
